date,name,value
1977-01-01,Déchets industriels,0
1977-01-01,Carburants biogènes,0
1977-01-01,Biogaz,0
1977-01-01,Soleil,0
1977-01-01,Chaleur ambiante,0
1978-01-01,Combustibles,335600
1978-01-01,Carburants,170000
1978-01-01,Electricité,116870
1978-01-01,Gaz,22450
1978-01-01,Charbon,9200
1978-01-01,Energie du bois,7910
1978-01-01,Chaleur à distance,5760
1978-01-01,Déchets industriels,3600
1978-01-01,Carburants biogènes,0
1978-01-01,Biogaz,0
1978-01-01,Soleil,0
1978-01-01,Chaleur ambiante,0
1979-01-01,Combustibles,313930
1979-01-01,Carburants,168770
1979-01-01,Electricité,121560
1979-01-01,Gaz,25420
1979-01-01,Charbon,9440
1979-01-01,Energie du bois,9010
1979-01-01,Chaleur à distance,6070
1979-01-01,Déchets industriels,3700
1979-01-01,Carburants biogènes,0
1979-01-01,Biogaz,0
1979-01-01,Soleil,0
1979-01-01,Chaleur ambiante,0
1980-01-01,Combustibles,310660
1980-01-01,Carburants,178820
1980-01-01,Electricité,126910
1980-01-01,Gaz,30370
1980-01-01,Charbon,13630
1980-01-01,Energie du bois,26280
1980-01-01,Chaleur à distance,7920
1980-01-01,Déchets industriels,3700
1980-01-01,Carburants biogènes,0
1980-01-01,Biogaz,0
1980-01-01,Soleil,0
1980-01-01,Chaleur ambiante,0
1981-01-01,Combustibles,284090
1981-01-01,Carburants,181620
1981-01-01,Electricité,130300
1981-01-01,Gaz,33370
1981-01-01,Charbon,20110
1981-01-01,Energie du bois,25480
1981-01-01,Chaleur à distance,8320
1981-01-01,Déchets industriels,4600
1981-01-01,Carburants biogènes,0
1981-01-01,Biogaz,0
1981-01-01,Soleil,0
1981-01-01,Chaleur ambiante,0
1982-01-01,Combustibles,264940
